CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE
SBIH,PA0010,ITAITUBA,ITAITUBA,PA,4° 14' 32'' S,56° 0' 3'' W,33 m,VFR Diurno/Noturno e IFR Diurno/Noturno,05/23,1605 m,30 m,PCN 26/F/B/X/T,Asfalto
SBIL,BA0004,BAHIA - JORGE AMADO,ILHÉUS,BA,14° 48' 54'' S,39° 2' 0'' W,4 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,1577 m,45 m,PCN 35/F/B/X/T,Asfalto
SBIP,MG0007,USIMINAS,SANTANA DO PARAÍSO,MG,19° 28' 14'' S,42° 29' 17'' W,239 m,VFR Diurno e IFR Diurno/Noturno,05/23,2005 m,45 m,PCN 33/F/B/X/T,Asfalto
SBIZ,MA0002,PREFEITO RENATO MOREIRA,IMPERATRIZ,MA,5° 31' 50'' S,47° 27' 30'' W,131 m,VFR Diurno/Noturno e IFR Diurno/Noturno,07/25,1798 m,45 m,PCN 50/F/A/X/T,Asfalto
SBJC,PA0005,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,BELÉM,PA,1° 24' 54'' S,48° 27' 32'' W,16 m,VFR Diurno,16/34,1106 m,30 m,PCN 34/F/C/X/U,Asfalto
SBJD,SP0031,COMANDANTE ROLIM ADOLFO AMARO,JUNDIAÍ,SP,23° 10' 54'' S,46° 56' 37'' W,757 m,VFR Diurno/Noturno,18/36,1400 m,30 m,PCN 21/F/A/X/T,Asfalto
SBJF,MG0016,FRANCISCO DE ASSIS,JUIZ DE FORA,MG,21° 47' 35'' S,43° 23' 8'' W,911 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,1535 m,30 m,PCN 8/F/A/Y/U,Asfalto
SBJI,RO0005,JI-PARANÁ,JI-PARANÁ,RO,10° 52' 14'' S,61° 50' 48'' W,182 m,VFR Diurno/Noturno,03/21,1800 m,45 m,PCN 30/F/C/X/U,Asfalto
SBJP,PB0001,PRESIDENTE CASTRO PINTO,JOÃO PESSOA,PB,7° 8' 54'' S,34° 57' 1'' W,66 m,VFR Diurno/Noturno e IFR Diurno/Noturno,16/34,2515 m,45 m,PCN 52/F/B/X/T,Asfalto
SBJR,RJ0005,JACAREPAGUÁ/RJ - Roberto Marinho,RIO DE JANEIRO,RJ,22° 59' 15'' S,43° 22' 12'' W,3 m,VFR Diurno/Noturno,03/21,900 m,30 m,PCN 10/F/C/Y/U,Asfalto
SBJU,CE0002,ORLANDO BEZERRA DE MENEZES,JUAZEIRO DO NORTE,CE,7° 13' 9'' S,39° 16' 10'' W,409 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,1940 m,45 m,PCN 45/F/A/X/T,Asfalto
SBJV,SC0004,LAURO CARNEIRO DE LOYOLA,JOINVILLE,SC,26° 13' 23'' S,48° 47' 52'' W,5 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1540 m,45 m,PCN 51/F/A/W/T,Asfalto
SBKG,PB0003,PRESIDENTE JOÃO SUASSUNA,CAMPINA GRANDE,PB,7° 16' 9'' S,35° 53' 42'' W,502 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1600 m,42 m,PCN 50/F/A/X/T,Asfalto
SBKP,SP0003,VIRACOPOS,CAMPINAS,SP,23° 0' 25'' S,47° 8' 4'' W,661 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,3240 m,45 m,PCN 56/F/B/X/T,Asfalto
SBLE,BA0006,HORÁCIO DE MATTOS,LENÇÓIS,BA,12° 28' 56'' S,41° 16' 37'' W,506 m,VFR Diurno/Noturno,14/32,2082 m,30 m,PCN 44/R/A/W/T,Asfalto
SBLJ,SC0007,LAGES,LAGES,SC,27° 46' 56'' S,50° 16' 54'' W,934 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,1532 m,30 m,PCN 17/F/C/Y/U,Asfalto
SBLO,PR0003,GOVERNADOR JOSÉ RICHA,LONDRINA,PR,23° 19' 49'' S,51° 8' 12'' W,569 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,2100 m,45 m,PCN 43/F/B/X/T,Asfalto
SBLP,BA0037,BOM JESUS DA LAPA,BOM JESUS DA LAPA,BA,13° 15' 41'' S,43° 24' 27'' W,443 m,VFR Diurno/Noturno e IFR Diurno,18/36,1211 m,30 m,PCN 9/F/C/Y/U,Asfalto
SBMA,PA0004,JOÃO CORREA DA ROCHA,MARABÁ,PA,5° 22' 5'' S,49° 8' 17'' W,109 m,VFR Diurno/Noturno e IFR Diurno/Noturno,07/25,2000 m,45 m,PCN 40/F/C/X/U,Asfalto
SBMD,PA0009,MONTE DOURADO,ALMEIRIM,PA,0° 53' 23'' S,52° 36' 8'' W,206 m,VFR Diurno/Noturno e IFR Diurno/Noturno,08/26,1800 m,30 m,PCN 25/F/B/X/U,Asfalto
SBME,RJ0004,MACAÉ,MACAÉ,RJ,22° 20' 34'' S,41° 45' 50'' W,2 m,VFR Diurno/Noturno e IFR Diurno/Noturno,06/24,1200 m,30 m,PCN 19/F/C/W/T,Asfalto
SBMG,PR0004,SÍLVIO NAME JÚNIOR,MARINGÁ,PR,23° 28' 46'' S,52° 0' 44'' W,545 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2100 m,45 m,PCN 41/F/A/X/T,Asfalto
SBMK,MG0004,MÁRIO RIBEIRO,MONTES CLAROS,MG,16° 42' 22'' S,43° 49' 19'' W,668 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,2100 m,45 m,PCN 34/F/B/X/T,Asfalto
SBML,SP0014,FRANK MILOYE MILENKOVICH,MARÍLIA,SP,22° 11' 44'' S,49° 55' 37'' W,650 m,VFR Diurno/Noturno e IFR Diurno/Noturno,03/21,1700 m,35 m,PCN 35/F/B/X/T,Asfalto
SBMO,AL0001,ZUMBI DOS PALMARES,MACEIÓ,AL,9° 31' 2'' S,35° 47' 1'' W,118 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,2602 m,45 m,PCN 46/F/A/X/T,Asfalto
SBMQ,AP0001,ALBERTO ALCOLUMBRE,MACAPÁ,AP,0° 3' 3'' N,51° 4' 13'' W,17 m,VFR Diurno/Noturno e IFR Diurno/Noturno,08/26,1800 m,45 m,PCN 48/F/C/X/T,Asfalto
SBMS,RN0002,DIX-SEPT ROSADO,MOSSORÓ,RN,5° 11' 45'' S,37° 21' 42'' W,23 m,VFR Diurno e IFR Diurno/Noturno,05/23,2000 m,30 m,PCN 31/F/B/X/T,Asfalto
SBMT,SP0007,CAMPO DE MARTE,SÃO PAULO,SP,23° 30' 24'' S,46° 38' 2'' W,722 m,VFR Diurno/Noturno,12/30,1600 m,45 m,PCN 16/F/C/Y/U,Asfalto
SBMY,AM0015,MANICORÉ,MANICORÉ,AM,5° 49' 1'' S,61° 17' 2'' W,53 m,VFR Diurno,05/23,1265 m,30 m,PCN 12/F/C/Y/U,Asfalto
SBNF,SC0002,MINISTRO VICTOR KONDER,NAVEGANTES,SC,26° 52' 43'' S,48° 39' 3'' W,5 m,VFR Diurno/Noturno e IFR Diurno/Noturno,07/25,1701 m,45 m,PCN 33/F/A/X/T,Asfalto
SBNM,RS0008,SANTO ÂNGELO,SANTO ÂNGELO,RS,28° 16' 54'' S,54° 10' 6'' W,322 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,1625 m,30 m,PCN 35/F/A/X/T,Asfalto
SBOI,AP0002,OIAPOQUE,OIAPOQUE,AP,3° 51' 41'' N,51° 47' 46'' W,19 m,VFR Diurno e IFR Diurno,03/21,1200 m,30 m,PCN 10/F/B/Y/U,Asfalto
SBPA,RS0001,SALGADO FILHO,PORTO ALEGRE,RS,29° 59' 38'' S,51° 10' 16'' W,4 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2280 m,45 m,PCN 74/F/A/X/T,Asfalto
SBPB,PI0002,AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO,PARNAÍBA,PI,2° 53' 38'' S,41° 43' 49'' W,5 m,VFR Diurno/Noturno,10/28,2500 m,45 m,PCN 52/F/C/X/T,Asfalto
SBPC,MG0018,EMBAIXADOR WALTHER MOREIRA SALLES,POÇOS DE CALDAS,MG,21° 50' 16'' S,46° 33' 58'' W,1261 m,VFR Diurno e IFR Diurno,09/27,1515 m,30 m,PCN 14/F/C/Y/U,Asfalto
SBPF,RS0006,LAURO KURTZ,PASSO FUNDO,RS,28° 14' 43'' S,52° 19' 43'' W,724 m,VFR Diurno/Noturno e IFR Diurno/Noturno,08/26,1700 m,30 m,PCN 29/F/A/X/T,Asfalto
SBPJ,TO0001,BRIGADEIRO LYSIAS RODRIGUES,PALMAS,TO,10° 17' 24'' S,48° 21' 28'' W,236 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,2500 m,45 m,PCN 48/F/B/X/T,Asfalto
SBPK,RS0005,PELOTAS,PELOTAS,RS,31° 42' 58'' S,52° 19' 52'' W,18 m,VFR Diurno/Noturno e IFR Diurno/Noturno,06/24,1980 m,42 m,PCN 24/R/B/X/T,Concreto
SBPL,PE0002,SENADOR NILO COELHO,PETROLINA,PE,9° 22' 3'' S,40° 33' 49'' W,384 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,3250 m,45 m,PCN 80/F/C/X/T,Asfalto
SDPE,TO0003,PORTO NACIONAL,PORTO NACIONAL,TO,10° 43' 1'' S,48° 24' 1'' W,265 m,VFR Diurno/Noturno,05/23,1700 m,30 m,PCN 27/F/B/X/T,Asfalto
SBPP,MS0005,PONTA PORÃ,PONTA PORÃ,MS,22° 32' 59'' S,55° 42' 9'' W,657 m,VFR Diurno e IFR Diurno/Noturno,04/22,2000 m,45 m,PCN 31/F/A/X/T,Asfalto
SBPR,MG0005,CARLOS PRATES,BELO HORIZONTE,MG,19° 54' 33'' S,43° 59' 21'' W,928 m,VFR Diurno,09/27,868 m,18 m,PCN 10/F/C/Y/U,Asfalto
SBPS,BA0002,PORTO SEGURO,PORTO SEGURO,BA,16° 26' 17'' S,39° 4' 40'' W,51 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2000 m,45 m,PCN 44/R/B/X/T,Asfalto
SBPV,RO0001,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,PORTO VELHO,RO,8° 42' 49'' S,63° 54' 10'' W,88 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,2400 m,45 m,PCN 41/F/B/X/T,Asfalto
SBRB,AC0001,PLÁCIDO DE CASTRO,RIO BRANCO,AC,9° 52' 6'' S,67° 53' 53'' W,193 m,VFR Diurno/Noturno e IFR Diurno/Noturno,06/24,2158 m,45 m,PCN 78/F/D/X/T,Asfalto
SBRD,MT0004,RONDONÓPOLIS - MAESTRO MARINHO FRANCO (*SWRD),RONDONÓPOLIS,MT,16° 35' 17'' S,54° 43' 18'' W,447 m,VFR Diurno/Noturno e IFR Diurno/Noturno,02/20,1850 m,30 m,PCN 28/F/B/X/U,Asfalto
SBRF,PE0001,GUARARAPES - GILBERTO FREYRE,RECIFE,PE,8° 7' 35'' S,34° 55' 22'' W,10 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,3007 m,45 m,PCN 63/F/B/X/T,Asfalto
