CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE
SDAG,RJ0010,ANGRA DOS REIS,ANGRA DOS REIS,RJ,22° 58' 31'' S,44° 18' 26'' W,3 m,VFR Diurno,10/28,913 m,30 m,PCN 14/F/B/Y/T,Asfalto
SDAI,SP0047,AMERICANA,AMERICANA,SP,22° 45' 19'' S,47° 16' 5'' W,611 m,VFR Diurno/Noturno,12/30,1100 m,18 m,PCN 9/F/B/X/T,Asfalto
SDAM,SP0037,ESTADUAL DE CAMPOS DOS AMARAIS - PREFEITO FRANCISCO AMARAL,CAMPINAS,SP,22° 51' 33'' S,47° 6' 29'' W,612 m,VFR Diurno/Noturno,16/34,1200 m,30 m,PCN 25/F/A/X/T,Asfalto
SDBA,SP0063,BATATAIS,BATATAIS,SP,20° 52' 37'' S,47° 35' 9'' W,881 m,VFR Diurno,13/31,720 m,30 m,"5700 kg / 0,5 MPa",Terra
SDBB,SP0018,BEBEDOURO,BEBEDOURO,SP,20° 54' 1'' S,48° 28' 25'' W,592 m,VFR Diurno,13/31,1500 m,23 m,PCN 15/F/A/X/T,Asfalto
SDBK,SP0019,TANCREDO DE ALMEIDA NEVES,BOTUCATU,SP,22° 56' 12'' S,48° 28' 3'' W,918 m,VFR Diurno/Noturno,01/19,1500 m,30 m,PCN 40/F/A/X/T,Asfalto
SDBY,SP0032,BARIRI,BARIRI,SP,22° 4' 9'' S,48° 42' 23'' W,486 m,VFR Diurno,11/29,1400 m,30 m,"5600 kg / 0,5 MPa",Terra
SDCA,SP0051,CAPÃO BONITO,CAPÃO BONITO,SP,24° 2' 1'' S,48° 21' 25'' W,714 m,VFR Diurno,16/34,1075 m,20 m,PCN 10/F/C/Y/U,Asfalto
SDCG,AM0016,SENADORA EUNICE MICHILES,SÃO PAULO DE OLIVENÇA,AM,3° 28' 14'' S,68° 55' 27'' W,102 m,VFR Diurno,04/22,1200 m,23 m,PCN 6/R/B/Y/T,Concreto
SDCO,SP0027,SOROCABA,SOROCABA,SP,23° 28' 59'' S,47° 29' 11'' W,633 m,VFR Diurno/Noturno,18/36,1480 m,30 m,PCN 36/F/B/X/T,Asfalto
SDDN,SP0020,PAULINO RIBEIRO DE ANDRADE,ANDRADINA,SP,20° 55' 33'' S,51° 23' 2'' W,380 m,VFR Diurno/Noturno,11/29,1500 m,30 m,PCN 12/F/B/Y/T,Asfalto
SDDR,SP0021,DRACENA,DRACENA,SP,21° 27' 38'' S,51° 36' 25'' W,372 m,VFR Diurno/Noturno,09/27,1500 m,30 m,PCN 14/F/A/X/T,Asfalto
SDEP,SP0052,GERALDO MOACIR BORDON,PRESIDENTE EPITÁCIO,SP,21° 46' 32'' S,52° 9' 47'' W,297 m,VFR Diurno,05/23,1010 m,18 m,PCN 8/F/C/Y/U,Asfalto
SDET,SP0067,TIETÊ,TIETÊ,SP,23° 6' 17'' S,47° 43' 28'' W,501 m,VFR Diurno,01/19,850 m,30 m,"5000 kg / 0,5 MPa",Terra
SDFD,SP0054,CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES,FERNANDÓPOLIS,SP,20° 16' 36'' S,50° 12' 50'' W,500 m,VFR Diurno,08/26,1000 m,25 m,PCN 16/F/A/X/T,Asfalto
SDFX,BA0054,CASA NOVA,CASA NOVA,BA,9° 9' 27'' S,40° 56' 15'' W,405 m,VFR Diurno,12/30,1100 m,20 m,PCN 10/F/B/Y/U,Asfalto
SDGC,SP0055,GARÇA,GARÇA,SP,22° 11' 1'' S,49° 39' 22'' W,664 m,VFR Diurno,01/19,1000 m,30 m,PCN 8/F/C/Y/U,Terra
SDGR,SP0074,GUARARAPES,GUARARAPES,SP,21° 15' 47'' S,50° 39' 11'' W,400 m,VFR Diurno,01/19,630 m,20 m,"5000 kg / 0,5 MPa",Terra
SDIG,SP0038,IBITINGA,IBITINGA,SP,21° 44' 50'' S,48° 51' 21'' W,542 m,VFR Diurno,13/31,1200 m,18 m,"5600 kg / 0,5 MPa",Asfalto
SDIM,SP0033,ITANHAÉM,ITANHAÉM,SP,24° 9' 53'' S,46° 47' 8'' W,4 m,VFR Diurno/Noturno,15/33,1350 m,30 m,PCN 31/F/C/X/T,Asfalto
SDIV,SP0056,ITUVERAVA,ITUVERAVA,SP,20° 22' 31'' S,47° 46' 7'' W,623 m,VFR Diurno,17/35,1350 m,23 m,"5200 kg / 0,5 MPa",Asfalto
SDJC,SP0064,JABOTICABAL,JABOTICABAL,SP,21° 13' 51'' S,48° 17' 8'' W,625 m,VFR Diurno,07/25,960 m,23 m,"5600 kg / 0,5 MPa",Terra
SDJO,SP0057,SÃO JOAQUIM DA BARRA,SÃO JOAQUIM DA BARRA,SP,20° 35' 36'' S,47° 50' 32'' W,651 m,VFR Diurno,14/32,1000 m,30 m,"5600 kg / 0,5 MPa",Terra
SDJV,SP0035,MUNICIPAL DE SÃO JOÃO DA BOA VISTA,SÃO JOÃO DA BOA VISTA,SP,22° 1' 0'' S,46° 50' 26'' W,762 m,VFR Diurno/Noturno,04/22,1250 m,30 m,PCN 20/F/B/Y/T,Asfalto
SDKF,BA0027,JUAZEIRO,CURAÇÁ,BA,9° 9' 19'' S,40° 5' 30'' W,392 m,VFR Diurno,18/36,1300 m,22 m,PCN 12/F/B/Y/U,Asfalto
SDKJ,BA0025,FORMOSA DO RIO PRETO,FORMOSA DO RIO PRETO,BA,11° 1' 16'' S,45° 11' 14'' W,511 m,VFR Diurno,13/31,1320 m,"18,5 m",PCN 10/F/B/Y/U,Asfalto
SDKK,SP0058,MOCOCA,MOCOCA,SP,21° 29' 14'' S,47° 2' 2'' W,651 m,VFR Diurno,04/22,1000 m,30 m,PCN 8/F/C/Y/U,Terra
SDLC,SP0039,LUCÉLIA,LUCÉLIA,SP,21° 44' 58'' S,51° 1' 6'' W,450 m,VFR Diurno,08/26,1200 m,40 m,PCN 10/F/C/Y/U,Grama
SDLE,BA0038,RIO DE CONTAS,RIO DE CONTAS,BA,13° 34' 59'' S,41° 47' 27'' W,1146 m,VFR Diurno,15/33,1200 m,41 m,"5700 kg / 0,5 MPa",Piçarra
SDLK,BA0040,CACULÉ,CACULÉ,BA,14° 28' 52'' S,42° 15' 53'' W,662 m,VFR Diurno,13/31,1200 m,20 m,PCN 8/F/B/Y/U,Asfalto
SDLL,SP0048,YOLANDA PENTEADO,LEME,SP,22° 13' 37'' S,47° 22' 56'' W,617 m,VFR Diurno,08/26,1150 m,18 m,PCN 7/F/B/X/U,Asfalto
SDLP,SP0034,MUNICIPAL JOSÉ BOSO,LENÇÓIS PAULISTA,SP,22° 34' 42'' S,48° 46' 28'' W,621 m,VFR Diurno/Noturno,07/25,1264 m,20 m,PCN 13/F/C/Y/T,Asfalto
SDLY,SP0071,ARMANDO NATALI,MATÃO,SP,21° 37' 23'' S,48° 21' 9'' W,635 m,VFR Diurno,16/34,750 m,23 m,PCN 8/F/C/Y/U,Terra
SBMI,RJ0009,MARICÁ,MARICÁ,RJ,22° 55' 5'' S,42° 49' 44'' W,0 m,VFR Diurno,09/27,1190 m,30 m,PCN 13/F/A/X/T,Asfalto
SDMH,SP0059,MIRASSOL,MIRASSOL,SP,20° 48' 26'' S,49° 29' 10'' W,584 m,VFR Diurno,06/24,1000 m,30 m,PCN 8/F/C/Y/U,Terra
SDMJ,SP0022,MOGI MIRIM,MOGI MIRIM,SP,22° 24' 36'' S,46° 54' 17'' W,693 m,VFR Diurno,12/30,1500 m,30 m,"5600 kg / 0,5 MPa",Terra
SDMO,SP0068,MONTE ALTO,MONTE ALTO,SP,21° 15' 41'' S,48° 31' 47'' W,750 m,VFR Diurno,17/35,850 m,20 m,"5600 kg / 0,5 MPa",Terra
SDNH,SP0060,NOVO HORIZONTE,NOVO HORIZONTE,SP,21° 29' 52'' S,49° 14' 4'' W,465 m,VFR Diurno,13/31,1000 m,20 m,"5700 kg / 0,5 MPa",Cascalho
SDNM,MT0047,BRIGADEIRO EDUARDO GOMES,NOVA MUTUM,MT,13° 49' 16'' S,56° 2' 19'' W,430 m,VFR Diurno,05/23,1541 m,24 m,PCN 18/F/B/Y/U,Asfalto
SDNO,SP0061,NELSON GARÓFALO,SÃO MANUEL,SP,22° 41' 46'' S,48° 34' 34'' W,730 m,VFR Diurno/Noturno,14/32,1000 m,20 m,PCN 13/F/C/Y/U,Asfalto
SDOU,SP0023,AEROPORTO MUNICIPAL DE OURINHOS JORNALISTA BENEDITO PIMENTEL,OURINHOS,SP,22° 58' 25'' S,49° 54' 41'' W,467 m,VFR Diurno/Noturno,16/34,1500 m,30 m,PCN 15/F/B/X/T,Asfalto
SDOV,GO0005,MOZARLÂNDIA,MOZARLÂNDIA,GO,14° 44' 41'' S,50° 34' 14'' W,328 m,VFR Diurno,17/35,1500 m,30 m,PCN 20/F/B/Y/T,Asfalto
SDOW,PA0021,OURILÂNDIA DO NORTE,OURILÂNDIA DO NORTE,PA,6° 45' 44'' S,51° 3' 0'' W,229 m,VFR Diurno/Noturno,14/32,1200 m,30 m,PCN 11/F/B/Y/T,Asfalto
SDPD,SP0072,PINDAMONHANGABA,PINDAMONHANGABA,SP,22° 56' 37'' S,45° 25' 53'' W,585 m,VFR Diurno,06/24,750 m,30 m,PCN 8/F/C/Y/U,Grama
SDPN,SP0024,PENÁPOLIS,PENÁPOLIS,SP,21° 24' 37'' S,50° 1' 55'' W,418 m,VFR Diurno/Noturno,15/33,1500 m,30 m,PCN 27/F/A/X/T,Asfalto
SDPV,SP0040,PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,SP,21° 53' 36'' S,51° 53' 4'' W,445 m,VFR Diurno,14/32,1200 m,30 m,"5700 kg / 0,5 MPa",Terra
SDPW,SP0041,PEDRO MORGANTI,PIRACICABA,SP,22° 42' 38'' S,47° 37' 10'' W,584 m,VFR Diurno/Noturno,17/35,1200 m,30 m,PCN 21/F/A/X/T,Asfalto
SDPY,SP0066,PIRASSUNUNGA,PIRASSUNUNGA,SP,22° 1' 40'' S,47° 25' 18'' W,683 m,VFR Diurno,03/21,860 m,30 m,PCN 8/F/C/Y/U,Terra
SDRK,SP0049,RIO CLARO,RIO CLARO,SP,22° 25' 54'' S,47° 33' 45'' W,600 m,VFR Diurno,03/21,1047 m,40 m,"5600 kg / 0,5 MPa",Terra
SDRR,SP0028,AVARÉ-ARANDU,AVARÉ,SP,23° 5' 35'' S,48° 59' 3'' W,810 m,VFR Diurno/Noturno,15/33,1480 m,30 m,PCN 26/F/A/X/T,Asfalto
SDRS,RJ0007,RESENDE,RESENDE,RJ,22° 28' 43'' S,44° 28' 54'' W,402 m,VFR Diurno,08/26,1300 m,30 m,PCN 13/F/C/Y/U,Asfalto
SDSC,SP0029,MÁRIO PEREIRA LOPES,SÃO CARLOS,SP,21° 52' 35'' S,47° 54' 12'' W,807 m,VFR Diurno/Noturno,02/20,1620 m,45 m,PCN 47/F/A/X/T,Asfalto
SBSO,MT0005,REGIONAL DE SORRISO ADOLINO BEDIN (SDSS*),SORRISO,MT,12° 28' 22'' S,55° 40' 8'' W,386 m,VFR Diurno/Noturno e IFR Diurno/Noturno,05/23,1700 m,30 m,PCN 26/F/A/Y/T,Asfalto
SDTB,SP0069,ATIBAIA,ATIBAIA,SP,23° 7' 42'' S,46° 34' 29'' W,797 m,VFR Diurno,02/20,800 m,30 m,"5000 kg / 0,5 MPa",Terra
SDTF,SP0050,TATUÍ,TATUÍ,SP,23° 19' 55'' S,47° 52' 48'' W,635 m,VFR Diurno,14/32,1300 m,30 m,PCN 28/F/B/X/T,Asfalto
SDTI,SP0073,TUPI PAULISTA,TUPI PAULISTA,SP,21° 23' 35'' S,51° 35' 56'' W,365 m,VFR Diurno,05/23,750 m,23 m,"5600 kg / 0,5 MPa",Grama
SDTK,RJ0011,PARATI,PARATI,RJ,23° 13' 28'' S,44° 43' 13'' W,3 m,VFR Diurno,10/28,700 m,23 m,"2500 kg / 0,5 MPa",Asfalto
SDTP,SP0025,JOSÉ VICENTE FARIA LIMA,TUPÃ,SP,21° 53' 24'' S,50° 30' 21'' W,550 m,VFR Diurno/Noturno,06/24,1500 m,35 m,PCN 33/F/B/X/T,Asfalto
SDUB,SP0065,ESTADUAL GASTÃO MADEIRA,UBATUBA,SP,23° 26' 29'' S,45° 4' 34'' W,4 m,VFR Diurno,09/27,940 m,30 m,PCN 8/F/C/Y/U,Asfalto
SDUN,RJ0008,ITAPERUNA,ITAPERUNA,RJ,21° 13' 10'' S,41° 52' 32'' W,125 m,VFR Diurno,06/24,1200 m,30 m,PCN 8/F/C/Y/U,Grama
SDUQ,SP0042,PARAGUAÇU PAULISTA,PARAGUAÇU PAULISTA,SP,22° 25' 37'' S,50° 36' 25'' W,476 m,VFR Diurno,05/23,1199 m,30 m,"5600 kg / 0,5 MPa",Terra
SDVE,SP0070,VERA CRUZ,VERA CRUZ,SP,22° 13' 41'' S,49° 49' 13'' W,640 m,VFR Diurno,14/32,770 m,20 m,"5600 kg / 0,5 MPa",Grama
SDVG,SP0026,DOMINGOS PIGNATARI,VOTUPORANGA,SP,20° 27' 26'' S,50° 0' 9'' W,508 m,VFR Diurno/Noturno,05/23,1500 m,30 m,PCN 26/F/B/X/T,Asfalto
SDWQ,PA0027,ALENQUER,ALENQUER,PA,1° 55' 1'' S,54° 43' 22'' W,"30,87 m",VFR Diurno,10/28,1000 m,23 m,"5700 kg / 0,5 MPa",Asfalto
SDXF,GO0020,ALTO PARAÍSO DE GOIÁS,ALTO PARAÍSO DE GOIÁS,GO,14° 7' 9'' S,47° 31' 49'' W,1345 m,VFR Diurno,09/27,1080 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SDXJ,MS0017,COSTA RICA,COSTA RICA,MS,18° 29' 29'' S,53° 10' 6'' W,738 m,VFR Diurno,09/27,1160 m,23 m,PCN 10/F/B/Y/T,Asfalto
SDZG,CE0008,PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ,TAUÁ,CE,5° 56' 0'' S,40° 17' 51'' W,"450,98 m",VFR Diurno/Noturno,09/27,1200 m,30 m,PCN 7/F/C/Y/U,Asfalto
SIBU,PB0012,CATOLÉ DO ROCHA,CATOLÉ DO ROCHA,PB,6° 21' 45'' S,37° 45' 19'' W,272 m,VFR Diurno,11/29,800 m,18 m,PCN 10/F/B/Y/U,Asfalto
SIBW,PB0008,CONCEIÇÃO,CONCEIÇÃO,PB,7° 33' 45'' S,38° 29' 51'' W,370 m,VFR Diurno,08/26,1000 m,27 m,PCN 8/F/C/Y/U,Asfalto
SIBY,PB0009,MONTEIRO,MONTEIRO,PB,7° 52' 42'' S,37° 8' 12'' W,619 m,VFR Diurno,14/32,1000 m,28 m,PCN 8/F/C/Y/U,Asfalto
SIBZ,PB0010,ITAPORANGA,ITAPORANGA,PB,7° 18' 40'' S,38° 6' 49'' W,292 m,VFR Diurno,14/32,1000 m,24 m,PCN 8/F/B/Y/U,Asfalto
SICB,PB0007,PEDRO SIMÕES PIMENTA,CUITÉ,PB,6° 29' 15'' S,36° 8' 24'' W,652 m,VFR Diurno,10/28,1150 m,30 m,"5700 kg / 0,5 MPa",Terra
SILC,MT0025,AEROPORTO MUNICIPAL BOM FUTURO,LUCAS DO RIO VERDE,MT,13° 2' 16'' S,55° 57' 1'' W,414 m,VFR Diurno/Noturno,08/26,1730 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SIMK,SP0011,TENENTE LUND PRESSOTO,FRANCA,SP,20° 35' 25'' S,47° 22' 57'' W,1003 m,VFR Diurno/Noturno,05/23,2000 m,30 m,PCN 26/F/B/X/T,Asfalto
SIZX,MT0018,JUARA SUL,JUARA,MT,11° 17' 12'' S,57° 32' 20'' W,302 m,VFR Diurno,11/29,1200 m,30 m,"5700 kg / 0,5 MPa",Cascalho
SJAU,TO0007,ARAGUACEMA,ARAGUACEMA,TO,8° 50' 16'' S,49° 33' 28'' W,207 m,VFR Diurno,12/30,1400 m,30 m,PCN 6/F/A/Y/T,Asfalto
SJBY,MA0007,JOÃO SILVA,SANTA INÊS,MA,3° 39' 14'' S,45° 20' 42'' W,25 m,VFR Diurno,06/24,1500 m,30 m,PCN 10/F/C/Y/T,Asfalto
SJGU,TO0005,ARAGUATINS,ARAGUATINS,TO,5° 41' 4'' S,48° 6' 56'' W,125 m,VFR Diurno/Noturno,12/30,1500 m,30 m,PCN 8/F/B/Y/T,Cascalho
SBJA,SC0005,REGIONAL SUL,JAGUARUNA,SC,28° 40' 31'' S,49° 3' 37'' W,35 m,VFR Diurno/Noturno e IFR Diurno/Noturno,05/23,2499 m,30 m,PCN 57/F/A/X/T,Asfalto
SJNP,PA0026,NOVO PROGRESSO,NOVO PROGRESSO,PA,7° 7' 33'' S,55° 24' 3'' W,242 m,VFR Diurno,17/35,1050 m,28 m,"5700 kg / 0,5 MPa",Piçarra
SJOG,RO0008,ARIQUEMES,ARIQUEMES,RO,9° 53' 5'' S,63° 2' 56'' W,142 m,VFR Diurno,03/21,1306 m,18 m,PCN 25/F/C/Y/U,Asfalto
SJQN,GO0006,QUIRINÓPOLIS,QUIRINÓPOLIS,GO,18° 26' 46'' S,50° 24' 33'' W,586 m,VFR Diurno,13/31,1500 m,30 m,PCN 10/F/C/Y/T,Asfalto
SJRG,RS0013,REGIONAL DE RIO GRANDE,RIO GRANDE,RS,32° 4' 54'' S,52° 9' 48'' W,8 m,VFR Diurno/Noturno,06/24,1500 m,30 m,PCN 11/F/B/Y/T,Asfalto
SJTS,PA0028,TERRA SANTA,TERRA SANTA,PA,2° 4' 22'' S,56° 29' 20'' W,25 m,VFR Diurno,12/30,1000 m,23 m,"5700 kg / 0,5 MPa",Piçarra
SJTZ,PA0022,DOM ELISEU,DOM ELISEU,PA,4° 18' 10'' S,47° 34' 54'' W,244 m,VFR Diurno,10/28,1200 m,18 m,"5700 kg / 0,5 MPa",Piçarra
SJVO,GO0030,ARAGARÇAS,ARAGARÇAS,GO,15° 53' 57'' S,52° 14' 43'' W,323 m,VFR Diurno,10/28,1010 m,30 m,PCN 14/F/B/X/U,Asfalto
SJZA,PB0004,PEDRO VIEIRA MOREIRA,CAJAZEIRAS,PB,6° 52' 58'' S,38° 36' 57'' W,335 m,VFR Diurno/Noturno,12/30,1600 m,30 m,PCN 26/F/B/X/T,Asfalto
SNAB,PE0009,ARARIPINA,ARARIPINA,PE,7° 35' 11'' S,40° 32' 7'' W,669 m,VFR Diurno,13/31,1247 m,26 m,PCN 4/F/A/X/T,Asfalto
SNAE,PE0007,ARCOVERDE,ARCOVERDE,PE,8° 24' 28'' S,37° 5' 18'' W,634 m,VFR Diurno/Noturno,15/33,1300 m,28 m,PCN 6/F/B/Y/U,Asfalto
SNAG,MG0020,ARAGUARI,ARAGUARI,MG,18° 40' 5'' S,48° 11' 25'' W,947 m,VFR Diurno,05/23,1500 m,30 m,PCN 14/F/A/Y/T,Asfalto
SNAL,AL0003,ARAPIRACA,ARAPIRACA,AL,9° 46' 36'' S,36° 37' 43'' W,270 m,VFR Diurno/Noturno,10/28,930 m,18 m,PCN 13/F/B/Y/T,Asfalto
SNAM,MG0011,SANTO ANTÔNIO DO AMPARO,SANTO ANTÔNIO DO AMPARO,MG,20° 54' 41'' S,44° 53' 40'' W,1097 m,VFR Diurno/Noturno,18/36,1620 m,30 m,PCN 7/F/A/Y/T,Asfalto
SNAP,MG0021,JANAÚBA,JANAÚBA,MG,15° 43' 59'' S,43° 19' 26'' W,528 m,VFR Diurno,10/28,1500 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SNAR,MG0033,CIRILO QUEIRÓZ,ALMENARA,MG,16° 11' 2'' S,40° 40' 2'' W,195 m,VFR Diurno/Noturno,07/25,1400 m,30 m,PCN 8/F/B/Y/U,Asfalto
SNAS,MG0022,TRÊS MARIAS,TRÊS MARIAS,MG,18° 13' 30'' S,45° 11' 26'' W,786 m,VFR Diurno,06/24,1500 m,45 m,PCN 24/F/C/X/U,Asfalto
SBAC,CE0004,ARACATI (SNAT*),ARACATI,CE,4° 34' 7'' S,37° 48' 17'' W,36 m,VFR Diurno/Noturno e IFR Diurno/Noturno,09/27,1800 m,30 m,PCN 36/F/A/X/U,Asfalto
SNAX,SP0016,MARCELO PIRES HALZHAUSEN,ASSIS,SP,22° 38' 24'' S,50° 27' 11'' W,564 m,VFR Diurno/Noturno,12/30,1689 m,30 m,PCN 25/F/C/Y/U,Asfalto
SNBA,SP0013,CHAFEI AMSEI (SBBT*),BARRETOS,SP,20° 35' 8'' S,48° 35' 45'' W,579 m,VFR Diurno/Noturno e IFR Diurno/Noturno,08/26,1800 m,30 m,PCN 32/F/A/X/T,Asfalto
SNBC,MA0006,BARRA DO CORDA,BARRA DO CORDA,MA,5° 30' 9'' S,45° 12' 58'' W,155 m,VFR Diurno,08/26,1560 m,30 m,PCN 13/F/B/Y/U,Terra
SNBG,ES0005,BAIXO GUANDU - AIMORÉS,BAIXO GUANDU,ES,19° 29' 56'' S,41° 2' 31'' W,80 m,VFR Diurno,11/29,1200 m,30 m,PCN 10/F/C/Y/U,Asfalto
SNBI,MA0005,BACABAL,BACABAL,MA,4° 13' 41'' S,44° 49' 11'' W,20 m,VFR Diurno,10/28,1600 m,30 m,PCN 25/F/A/X/T,Asfalto
SNBM,MG0051,CRISTIANO FERREIRA VARELLA,MURIAÉ,MG,21° 7' 34'' S,42° 23' 40'' W,270 m,VFR Diurno,04/22,1140 m,23 m,PCN 12/F/B/Y/T,Asfalto
SNBR,BA0011,BARREIRAS,BARREIRAS,BA,12° 4' 45'' S,45° 0' 34'' W,748 m,VFR Diurno/Noturno,08/26,1600 m,30 m,PCN 35/F/A/X/T,Asfalto
SNBS,MA0010,BALSAS,BALSAS,MA,7° 31' 31'' S,46° 3' 12'' W,284 m,VFR Diurno,15/33,1000 m,23 m,PCN 14/F/B/Y/U,Asfalto
SNBX,BA0028,BARRA,BARRA,BA,11° 4' 52'' S,43° 8' 51'' W,389 m,VFR Diurno,06/24,1300 m,20 m,PCN 10/F/B/X/U,Asfalto
SNBZ,BA0042,PARAMIRIM,PARAMIRIM,BA,13° 29' 26'' S,42° 13' 45'' W,627 m,VFR Diurno,18/36,1200 m,25 m,PCN 10/F/C/Y/U,Asfalto
SNCA,MG0031,CAMPO BELO,CAMPO BELO,MG,20° 53' 33'' S,45° 20' 8'' W,970 m,VFR Diurno,10/28,1420 m,30 m,PCN 25/F/A/X/T,Asfalto
SNCE,MG0061,CAMPO DO MEIO,CAMPO DO MEIO,MG,21° 6' 22'' S,45° 48' 17'' W,780 m,VFR Diurno,10/28,1000 m,30 m,PCN 8/F/C/Y/U,Argila
SNCS,CE0009,CAMPOS SALES,CAMPOS SALES,CE,7° 2' 58'' S,40° 21' 51'' W,610 m,VFR Diurno,11/29,1200 m,30 m,PCN 17/F/A/X/T,Asfalto
SNCT,MG0056,CARATINGA,UBAPORANGA,MG,19° 43' 31'' S,42° 6' 40'' W,599 m,VFR Diurno,02/20,1080 m,23 m,"5000 kg / 0,5 MPa",Asfalto
SNCV,MG0062,CAMPINA VERDE,CAMPINA VERDE,MG,19° 32' 17'' S,49° 29' 42'' W,550 m,VFR Diurno,14/32,1000 m,25 m,PCN 8/F/C/Y/U,Terra
SNCX,ES0004,COLATINA,COLATINA,ES,19° 29' 4'' S,40° 35' 4'' W,153 m,VFR Diurno/Noturno,15/33,1300 m,30 m,PCN 8/F/B/Y/T,Asfalto
SNCZ,MG0059,PONTE NOVA,PONTE NOVA,MG,20° 24' 11'' S,42° 55' 0'' W,572 m,VFR Diurno,07/25,1060 m,30 m,PCN 11/F/C/Y/T,Asfalto
SNDC,PA0030,REDENÇÃO,REDENÇÃO,PA,8° 1' 52'' S,49° 58' 47'' W,207 m,VFR Diurno,06/24,960 m,30 m,PCN 7/F/C/Y/T,Asfalto
SNDT,MG0030,JUSCELINO KUBITSCHEK,DIAMANTINA,MG,18° 13' 56'' S,43° 39' 1'' W,1356 m,VFR Diurno/Noturno,03/21,1610 m,30 m,PCN 14/F/B/X/T,Asfalto
SNDV,MG0015,BRIGADEIRO ANTÔNIO CABRAL,DIVINÓPOLIS,MG,20° 10' 55'' S,44° 52' 12'' W,795 m,VFR Diurno/Noturno,17/35,1540 m,30 m,PCN 20/F/B/X/T,Asfalto
SNDW,BA0043,DIVISA,ENCRUZILHADA,BA,15° 31' 10'' S,40° 52' 21'' W,826 m,VFR Diurno,08/26,1200 m,20 m,"2500 kg / 0,5 MPa",Asfalto
SNEB,PA0018,NAGIB DEMACHKI,PARAGOMINAS,PA,3° 1' 11'' S,47° 18' 59'' W,135 m,VFR Diurno/Noturno,09/27,1450 m,30 m,PCN 30/F/C/X/T,Asfalto
SNED,BA0023,SÓCRATES REZENDE,CANAVIEIRAS,BA,15° 39' 59'' S,38° 57' 19'' W,6 m,VFR Diurno,14/32,1340 m,30 m,"5700 kg / 0,5 MPa",Asfalto
SNEE,RS0004,VACARIA NOVO,VACARIA,RS,28° 25' 55'' S,51° 1' 22'' W,900 m,VFR Diurno,11/29,2020 m,30 m,PCN 32/F/A/X/T,Asfalto
SNEU,BA0044,EUCLIDES DA CUNHA,EUCLIDES DA CUNHA,BA,10° 31' 39'' S,39° 1' 57'' W,462 m,VFR Diurno,18/36,1200 m,22 m,PCN 10/F/C/Y/U,Asfalto
SNFE,MG0012,COMANDANTE PASCHOAL PATROCÍNIO FILHO,ALFENAS,MG,21° 25' 54'' S,45° 55' 59'' W,875 m,VFR Diurno/Noturno,04/22,1600 m,30 m,PCN 8/F/C/Y/U,Asfalto
SNFO,MG0060,FORMIGA,FORMIGA,MG,20° 23' 43'' S,45° 29' 12'' W,1017 m,VFR Diurno,02/20,1030 m,23 m,PCN 8/F/C/Y/U,Cascalho
SNFU,MG0063,FRUTAL,FRUTAL,MG,20° 0' 17'' S,48° 57' 32'' W,549 m,VFR Diurno,07/25,1320 m,30 m,PCN 15/F/C/Y/T,Asfalto
SNFX,PA0013,SÃO FÉLIX DO XINGU,SÃO FÉLIX DO XINGU,PA,6° 38' 25'' S,51° 59' 24'' W,200 m,VFR Diurno,13/31,1600 m,33 m,PCN 45/F/C/X/U,Asfalto
SNGA,ES0007,GUARAPARI,GUARAPARI,ES,20° 38' 47'' S,40° 29' 30'' W,9 m,VFR Diurno/Noturno,06/24,940 m,30 m,PCN 13/F/C/X/U,Asfalto
SNGB,PI0011,GILBUÉS,GILBUÉS,PI,9° 50' 1'' S,45° 22' 2'' W,450 m,VFR Diurno,09/27,1000 m,30 m,PCN 8/F/C/Y/U,Terra
SNGD,PI0005,GUADALUPE,GUADALUPE,PI,6° 46' 56'' S,43° 34' 56'' W,172 m,VFR Diurno,15/33,1600 m,36 m,PCN 9/F/C/X/U,Piçarra
SNGG,PI0007,BOM JESUS DO GURGUÉIA,BOM JESUS,PI,9° 3' 34'' S,44° 22' 9'' W,338 m,VFR Diurno,16/34,1200 m,20 m,PCN 9/F/C/Y/U,Asfalto
SNGI,BA0009,GUANAMBI,GUANAMBI,BA,14° 12' 29'' S,42° 44' 46'' W,553 m,VFR Diurno/Noturno,14/32,1700 m,30 m,PCN 18/F/A/Y/T,Asfalto
SNGN,PE0006,GARANHUNS,GARANHUNS,PE,8° 50' 4'' S,36° 28' 17'' W,772 m,VFR Diurno,16/34,1254 m,28 m,PCN 6/F/C/Y/T,Asfalto
SNGT,BA0029,GENTIO DO OURO,GENTIO DO OURO,BA,11° 26' 30'' S,42° 31' 8'' W,1082 m,VFR Diurno,06/24,1300 m,29 m,PCN 10/F/B/Y/U,Asfalto
